x,t,u_numeric,u_exact,error
0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.062791,0.062791,0.000000
0.040000,0.000000,0.125333,0.125333,0.000000
0.060000,0.000000,0.187381,0.187381,0.000000
0.080000,0.000000,0.248690,0.248690,0.000000
0.100000,0.000000,0.309017,0.309017,0.000000
0.120000,0.000000,0.368125,0.368125,0.000000
0.140000,0.000000,0.425779,0.425779,0.000000
0.160000,0.000000,0.481754,0.481754,0.000000
0.180000,0.000000,0.535827,0.535827,0.000000
0.200000,0.000000,0.587785,0.587785,0.000000
0.220000,0.000000,0.637424,0.637424,0.000000
0.240000,0.000000,0.684547,0.684547,0.000000
0.260000,0.000000,0.728969,0.728969,0.000000
0.280000,0.000000,0.770513,0.770513,0.000000
0.300000,0.000000,0.809017,0.809017,0.000000
0.320000,0.000000,0.844328,0.844328,0.000000
0.340000,0.000000,0.876307,0.876307,0.000000
0.360000,0.000000,0.904827,0.904827,0.000000
0.380000,0.000000,0.929776,0.929776,0.000000
0.400000,0.000000,0.951057,0.951057,0.000000
0.420000,0.000000,0.968583,0.968583,0.000000
0.440000,0.000000,0.982287,0.982287,0.000000
0.460000,0.000000,0.992115,0.992115,0.000000
0.480000,0.000000,0.998027,0.998027,0.000000
0.500000,0.000000,1.000000,1.000000,0.000000
0.520000,0.000000,0.998027,0.998027,0.000000
0.540000,0.000000,0.992115,0.992115,0.000000
0.560000,0.000000,0.982287,0.982287,0.000000
0.580000,0.000000,0.968583,0.968583,0.000000
0.600000,0.000000,0.951057,0.951057,0.000000
0.620000,0.000000,0.929776,0.929776,0.000000
0.640000,0.000000,0.904827,0.904827,0.000000
0.660000,0.000000,0.876307,0.876307,0.000000
0.680000,0.000000,0.844328,0.844328,0.000000
0.700000,0.000000,0.809017,0.809017,0.000000
0.720000,0.000000,0.770513,0.770513,0.000000
0.740000,0.000000,0.728969,0.728969,0.000000
0.760000,0.000000,0.684547,0.684547,0.000000
0.780000,0.000000,0.637424,0.637424,0.000000
0.800000,0.000000,0.587785,0.587785,0.000000
0.820000,0.000000,0.535827,0.535827,0.000000
0.840000,0.000000,0.481754,0.481754,0.000000
0.860000,0.000000,0.425779,0.425779,0.000000
0.880000,0.000000,0.368125,0.368125,0.000000
0.900000,0.000000,0.309017,0.309017,0.000000
0.920000,0.000000,0.248690,0.248690,0.000000
0.940000,0.000000,0.187381,0.187381,0.000000
0.960000,0.000000,0.125333,0.125333,0.000000
0.980000,0.000000,0.062791,0.062791,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.002000,0.000000,0.000000,0.000000
0.020000,0.002000,0.061575,0.061563,0.000012
0.040000,0.002000,0.122908,0.122884,0.000024
0.060000,0.002000,0.183755,0.183719,0.000037
0.080000,0.002000,0.243878,0.243829,0.000048
0.100000,0.002000,0.303037,0.302977,0.000060
0.120000,0.002000,0.361001,0.360929,0.000072
0.140000,0.002000,0.417540,0.417457,0.000083
0.160000,0.002000,0.472431,0.472337,0.000094
0.180000,0.002000,0.525458,0.525354,0.000104
0.200000,0.002000,0.576411,0.576297,0.000114
0.220000,0.002000,0.625089,0.624965,0.000124
0.240000,0.002000,0.671301,0.671167,0.000133
0.260000,0.002000,0.714862,0.714720,0.000142
0.280000,0.002000,0.755603,0.755453,0.000150
0.300000,0.002000,0.793362,0.793204,0.000158
0.320000,0.002000,0.827989,0.827825,0.000164
0.340000,0.002000,0.859349,0.859179,0.000171
0.360000,0.002000,0.887318,0.887142,0.000176
0.380000,0.002000,0.911785,0.911603,0.000181
0.400000,0.002000,0.932653,0.932467,0.000185
0.420000,0.002000,0.949840,0.949652,0.000189
0.440000,0.002000,0.963279,0.963088,0.000191
0.460000,0.002000,0.972916,0.972723,0.000193
0.480000,0.002000,0.978714,0.978520,0.000194
0.500000,0.002000,0.980649,0.980454,0.000195
0.520000,0.002000,0.978714,0.978520,0.000194
0.540000,0.002000,0.972916,0.972723,0.000193
0.560000,0.002000,0.963279,0.963088,0.000191
0.580000,0.002000,0.949840,0.949652,0.000189
0.600000,0.002000,0.932653,0.932467,0.000185
0.620000,0.002000,0.911785,0.911603,0.000181
0.640000,0.002000,0.887318,0.887142,0.000176
0.660000,0.002000,0.859349,0.859179,0.000171
0.680000,0.002000,0.827989,0.827825,0.000164
0.700000,0.002000,0.793362,0.793204,0.000158
0.720000,0.002000,0.755603,0.755453,0.000150
0.740000,0.002000,0.714862,0.714720,0.000142
0.760000,0.002000,0.671301,0.671167,0.000133
0.780000,0.002000,0.625089,0.624965,0.000124
0.800000,0.002000,0.576411,0.576297,0.000114
0.820000,0.002000,0.525458,0.525354,0.000104
0.840000,0.002000,0.472431,0.472337,0.000094
0.860000,0.002000,0.417540,0.417457,0.000083
0.880000,0.002000,0.361001,0.360929,0.000072
0.900000,0.002000,0.303037,0.302977,0.000060
0.920000,0.002000,0.243878,0.243829,0.000048
0.940000,0.002000,0.183755,0.183719,0.000037
0.960000,0.002000,0.122908,0.122884,0.000024
0.980000,0.002000,0.061575,0.061563,0.000012
1.000000,0.002000,0.000000,0.000000,0.000000
0.000000,0.004000,0.000000,0.000000,0.000000
0.020000,0.004000,0.060384,0.060360,0.000024
0.040000,0.004000,0.120530,0.120482,0.000048
0.060000,0.004000,0.180199,0.180128,0.000072
0.080000,0.004000,0.239158,0.239063,0.000095
0.100000,0.004000,0.297173,0.297055,0.000118
0.120000,0.004000,0.354015,0.353875,0.000141
0.140000,0.004000,0.409460,0.409298,0.000163
0.160000,0.004000,0.463289,0.463105,0.000184
0.180000,0.004000,0.515290,0.515085,0.000205
0.200000,0.004000,0.565257,0.565032,0.000225
0.220000,0.004000,0.612993,0.612750,0.000244
0.240000,0.004000,0.658310,0.658049,0.000262
0.260000,0.004000,0.701029,0.700751,0.000278
0.280000,0.004000,0.740982,0.740687,0.000294
0.300000,0.004000,0.778010,0.777701,0.000309
0.320000,0.004000,0.811967,0.811645,0.000323
0.340000,0.004000,0.842720,0.842385,0.000335
0.360000,0.004000,0.870147,0.869802,0.000346
0.380000,0.004000,0.894141,0.893785,0.000355
0.400000,0.004000,0.914605,0.914242,0.000363
0.420000,0.004000,0.931460,0.931090,0.000370
0.440000,0.004000,0.944639,0.944264,0.000375
0.460000,0.004000,0.954090,0.953711,0.000379
0.480000,0.004000,0.959775,0.959394,0.000381
0.500000,0.004000,0.961673,0.961291,0.000382
