x,t,u_numeric,u_exact,error
0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.062791,0.062791,0.000000
0.040000,0.000000,0.125333,0.125333,0.000000
0.060000,0.000000,0.187381,0.187381,0.000000
0.080000,0.000000,0.248690,0.248690,0.000000
0.100000,0.000000,0.309017,0.309017,0.000000
0.120000,0.000000,0.368125,0.368125,0.000000
0.140000,0.000000,0.425779,0.425779,0.000000
0.160000,0.000000,0.481754,0.481754,0.000000
0.180000,0.000000,0.535827,0.535827,0.000000
0.200000,0.000000,0.587785,0.587785,0.000000
0.220000,0.000000,0.637424,0.637424,0.000000
0.240000,0.000000,0.684547,0.684547,0.000000
0.260000,0.000000,0.728969,0.728969,0.000000
0.280000,0.000000,0.770513,0.770513,0.000000
0.300000,0.000000,0.809017,0.809017,0.000000
0.320000,0.000000,0.844328,0.844328,0.000000
0.340000,0.000000,0.876307,0.876307,0.000000
0.360000,0.000000,0.904827,0.904827,0.000000
0.380000,0.000000,0.929776,0.929776,0.000000
0.400000,0.000000,0.951057,0.951057,0.000000
0.420000,0.000000,0.968583,0.968583,0.000000
0.440000,0.000000,0.982287,0.982287,0.000000
0.460000,0.000000,0.992115,0.992115,0.000000
0.480000,0.000000,0.998027,0.998027,0.000000
0.500000,0.000000,1.000000,1.000000,0.000000
0.520000,0.000000,0.998027,0.998027,0.000000
0.540000,0.000000,0.992115,0.992115,0.000000
0.560000,0.000000,0.982287,0.982287,0.000000
0.580000,0.000000,0.968583,0.968583,0.000000
0.600000,0.000000,0.951057,0.951057,0.000000
0.620000,0.000000,0.929776,0.929776,0.000000
0.640000,0.000000,0.904827,0.904827,0.000000
0.660000,0.000000,0.876307,0.876307,0.000000
0.680000,0.000000,0.844328,0.844328,0.000000
0.700000,0.000000,0.809017,0.809017,0.000000
0.720000,0.000000,0.770513,0.770513,0.000000
0.740000,0.000000,0.728969,0.728969,0.000000
0.760000,0.000000,0.684547,0.684547,0.000000
0.780000,0.000000,0.637424,0.637424,0.000000
0.800000,0.000000,0.587785,0.587785,0.000000
0.820000,0.000000,0.535827,0.535827,0.000000
0.840000,0.000000,0.481754,0.481754,0.000000
0.860000,0.000000,0.425779,0.425779,0.000000
0.880000,0.000000,0.368125,0.368125,0.000000
0.900000,0.000000,0.309017,0.309017,0.000000
0.920000,0.000000,0.248690,0.248690,0.000000
0.940000,0.000000,0.187381,0.187381,0.000000
0.960000,0.000000,0.125333,0.125333,0.000000
0.980000,0.000000,0.062791,0.062791,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.002000,0.000000,0.000000,0.000000
0.020000,0.002000,0.061564,0.061563,0.000000
0.040000,0.002000,0.122884,0.122884,0.000001
0.060000,0.002000,0.183720,0.183719,0.000001
0.080000,0.002000,0.243831,0.243829,0.000001
0.100000,0.002000,0.302979,0.302977,0.000002
0.120000,0.002000,0.360931,0.360929,0.000002
0.140000,0.002000,0.417460,0.417457,0.000002
0.160000,0.002000,0.472340,0.472337,0.000003
0.180000,0.002000,0.525357,0.525354,0.000003
0.200000,0.002000,0.576300,0.576297,0.000003
0.220000,0.002000,0.624969,0.624965,0.000004
0.240000,0.002000,0.671171,0.671167,0.000004
0.260000,0.002000,0.714725,0.714720,0.000004
0.280000,0.002000,0.755457,0.755453,0.000004
0.300000,0.002000,0.793209,0.793204,0.000005
0.320000,0.002000,0.827830,0.827825,0.000005
0.340000,0.002000,0.859184,0.859179,0.000005
0.360000,0.002000,0.887147,0.887142,0.000005
0.380000,0.002000,0.911609,0.911603,0.000005
0.400000,0.002000,0.932473,0.932467,0.000005
0.420000,0.002000,0.949657,0.949652,0.000006
0.440000,0.002000,0.963093,0.963088,0.000006
0.460000,0.002000,0.972729,0.972723,0.000006
0.480000,0.002000,0.978525,0.978520,0.000006
0.500000,0.002000,0.980460,0.980454,0.000006
0.520000,0.002000,0.978525,0.978520,0.000006
0.540000,0.002000,0.972729,0.972723,0.000006
0.560000,0.002000,0.963093,0.963088,0.000006
0.580000,0.002000,0.949657,0.949652,0.000006
0.600000,0.002000,0.932473,0.932467,0.000005
0.620000,0.002000,0.911609,0.911603,0.000005
0.640000,0.002000,0.887147,0.887142,0.000005
0.660000,0.002000,0.859184,0.859179,0.000005
0.680000,0.002000,0.827830,0.827825,0.000005
0.700000,0.002000,0.793209,0.793204,0.000005
0.720000,0.002000,0.755457,0.755453,0.000004
0.740000,0.002000,0.714725,0.714720,0.000004
0.760000,0.002000,0.671171,0.671167,0.000004
0.780000,0.002000,0.624969,0.624965,0.000004
0.800000,0.002000,0.576300,0.576297,0.000003
0.820000,0.002000,0.525357,0.525354,0.000003
0.840000,0.002000,0.472340,0.472337,0.000003
0.860000,0.002000,0.417460,0.417457,0.000002
0.880000,0.002000,0.360931,0.360929,0.000002
0.900000,0.002000,0.302979,0.302977,0.000002
0.920000,0.002000,0.243831,0.243829,0.000001
0.940000,0.002000,0.183720,0.183719,0.000001
0.960000,0.002000,0.122884,0.122884,0.000001
0.980000,0.002000,0.061564,0.061563,0.000000
1.000000,0.002000,0.000000,0.000000,0.000000
0.000000,0.004000,0.000000,0.000000,0.000000
0.020000,0.004000,0.060361,0.060360,0.000001
0.040000,0.004000,0.120483,0.120482,0.000001
0.060000,0.004000,0.180130,0.180128,0.000002
0.080000,0.004000,0.239066,0.239063,0.000003
0.100000,0.004000,0.297059,0.297055,0.000003
0.120000,0.004000,0.353879,0.353875,0.000004
0.140000,0.004000,0.409302,0.409298,0.000005
0.160000,0.004000,0.463111,0.463105,0.000005
0.180000,0.004000,0.515091,0.515085,0.000006
0.200000,0.004000,0.565039,0.565032,0.000007
0.220000,0.004000,0.612757,0.612750,0.000007
0.240000,0.004000,0.658056,0.658049,0.000008
0.260000,0.004000,0.700759,0.700751,0.000008
0.280000,0.004000,0.740696,0.740687,0.000009
0.300000,0.004000,0.777710,0.777701,0.000009
0.320000,0.004000,0.811654,0.811645,0.000010
0.340000,0.004000,0.842395,0.842385,0.000010
0.360000,0.004000,0.869812,0.869802,0.000010
0.380000,0.004000,0.893796,0.893785,0.000010
0.400000,0.004000,0.914252,0.914242,0.000011
0.420000,0.004000,0.931101,0.931090,0.000011
0.440000,0.004000,0.944275,0.944264,0.000011
0.460000,0.004000,0.953722,0.953711,0.000011
0.480000,0.004000,0.959405,0.959394,0.000011
0.500000,0.004000,0.961302,0.961291,0.000011
