x,t,u_numeric,u_exact,error
0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.309017,0.309017,0.000000
0.200000,0.000000,0.587785,0.587785,0.000000
0.300000,0.000000,0.809017,0.809017,0.000000
0.400000,0.000000,0.951057,0.951057,0.000000
0.500000,0.000000,1.000000,1.000000,0.000000
0.600000,0.000000,0.951057,0.951057,0.000000
0.700000,0.000000,0.809017,0.809017,0.000000
0.800000,0.000000,0.587785,0.587785,0.000000
0.900000,0.000000,0.309017,0.309017,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.001000,0.000000,0.000000,0.000000
0.100000,0.001000,0.305992,0.305982,0.000010
0.200000,0.001000,0.582032,0.582013,0.000019
0.300000,0.001000,0.801098,0.801072,0.000026
0.400000,0.001000,0.941747,0.941716,0.000031
0.500000,0.001000,0.990211,0.990179,0.000032
0.600000,0.001000,0.941747,0.941716,0.000031
0.700000,0.001000,0.801098,0.801072,0.000026
0.800000,0.001000,0.582032,0.582013,0.000019
0.900000,0.001000,0.305992,0.305982,0.000010
1.000000,0.001000,0.000000,0.000000,0.000000
0.000000,0.002000,0.000000,0.000000,0.000000
0.100000,0.002000,0.302997,0.302977,0.000020
0.200000,0.002000,0.576334,0.576297,0.000038
0.300000,0.002000,0.793256,0.793204,0.000052
0.400000,0.002000,0.932528,0.932467,0.000061
0.500000,0.002000,0.980518,0.980454,0.000064
0.600000,0.002000,0.932528,0.932467,0.000061
0.700000,0.002000,0.793256,0.793204,0.000052
0.800000,0.002000,0.576334,0.576297,0.000038
0.900000,0.002000,0.302997,0.302977,0.000020
1.000000,0.002000,0.000000,0.000000,0.000000
0.000000,0.003000,0.000000,0.000000,0.000000
0.100000,0.003000,0.300031,0.300001,0.000029
0.200000,0.003000,0.570693,0.570637,0.000056
0.300000,0.003000,0.785491,0.785414,0.000077
0.400000,0.003000,0.923400,0.923310,0.000091
0.500000,0.003000,0.970920,0.970825,0.000095
0.600000,0.003000,0.923400,0.923310,0.000091
0.700000,0.003000,0.785491,0.785414,0.000077
0.800000,0.003000,0.570693,0.570637,0.000056
0.900000,0.003000,0.300031,0.300001,0.000029
1.000000,0.003000,0.000000,0.000000,0.000000
0.000000,0.004000,0.000000,0.000000,0.000000
0.100000,0.004000,0.297094,0.297055,0.000039
0.200000,0.004000,0.565106,0.565032,0.000074
0.300000,0.004000,0.777802,0.777701,0.000102
0.400000,0.004000,0.914361,0.914242,0.000120
0.500000,0.004000,0.961416,0.961291,0.000126
0.600000,0.004000,0.914361,0.914242,0.000120
0.700000,0.004000,0.777802,0.777701,0.000102
0.800000,0.004000,0.565106,0.565032,0.000074
0.900000,0.004000,0.297094,0.297055,0.000039
1.000000,0.004000,0.000000,0.000000,0.000000
0.000000,0.005000,0.000000,0.000000,0.000000
0.100000,0.005000,0.294186,0.294138,0.000048
0.200000,0.005000,0.559575,0.559483,0.000091
0.300000,0.005000,0.770189,0.770063,0.000126
0.400000,0.005000,0.905411,0.905263,0.000148
0.500000,0.005000,0.952005,0.951850,0.000156
0.600000,0.005000,0.905411,0.905263,0.000148
0.700000,0.005000,0.770189,0.770063,0.000126
0.800000,0.005000,0.559575,0.559483,0.000091
0.900000,0.005000,0.294186,0.294138,0.000048
1.000000,0.005000,0.000000,0.000000,0.000000
0.000000,0.006000,0.000000,0.000000,0.000000
0.100000,0.006000,0.291306,0.291249,0.000057
0.200000,0.006000,0.554097,0.553989,0.000109
0.300000,0.006000,0.762649,0.762500,0.000150
0.400000,0.006000,0.896548,0.896372,0.000176
0.500000,0.006000,0.942686,0.942502,0.000185
0.600000,0.006000,0.896548,0.896372,0.000176
0.700000,0.006000,0.762649,0.762500,0.000150
0.800000,0.006000,0.554097,0.553989,0.000109
0.900000,0.006000,0.291306,0.291249,0.000057
1.000000,0.006000,0.000000,0.000000,0.000000
0.000000,0.007000,0.000000,0.000000,0.000000
0.100000,0.007000,0.288455,0.288389,0.000066
0.200000,0.007000,0.548673,0.548548,0.000126
0.300000,0.007000,0.755184,0.755011,0.000173
0.400000,0.007000,0.887772,0.887569,0.000203
0.500000,0.007000,0.933459,0.933245,0.000214
0.600000,0.007000,0.887772,0.887569,0.000203
0.700000,0.007000,0.755184,0.755011,0.000173
0.800000,0.007000,0.548673,0.548548,0.000126
0.900000,0.007000,0.288455,0.288389,0.000066
1.000000,0.007000,0.000000,0.000000,0.000000
0.000000,0.008000,0.000000,0.000000,0.000000
0.100000,0.008000,0.285631,0.285556,0.000075
0.200000,0.008000,0.543303,0.543160,0.000142
0.300000,0.008000,0.747792,0.747596,0.000195
0.400000,0.008000,0.879082,0.878852,0.000230
0.500000,0.008000,0.924321,0.924080,0.000242
0.600000,0.008000,0.879082,0.878852,0.000230
0.700000,0.008000,0.747792,0.747596,0.000195
0.800000,0.008000,0.543303,0.543160,0.000142
0.900000,0.008000,0.285631,0.285556,0.000075
1.000000,0.008000,0.000000,0.000000,0.000000
0.000000,0.009000,0.000000,0.000000,0.000000
0.100000,0.009000,0.282835,0.282752,0.000083
0.200000,0.009000,0.537984,0.537826,0.000158
0.300000,0.009000,0.740472,0.740254,0.000218
0.400000,0.009000,0.870477,0.870221,0.000256
